Site,Long,Lat,TP mg/kg,TN%,TC%,TN g/kg,TC g/kg,LOI %,Depth (m),sSRP,bSRP,sNOx,bNOx,sNH3,bNH3,sTemp,sCond,sSPC,sTDS,sSal,sDO (% sat),sDO (mg/L),sPressure,spH,sORP,sTurb (FNU),sChlor (RFU),sChlor (ug/L),sBGA-PC (RFU),sBGA-PC (ug/L),sBaro (mmHg),bTemp,bCond uS/cm,bSPC,bTDS,bSal,bDO (% sat),bDO (mg/L),bPressure,bpH,bORP,bTurb (FNU),bChlor (RFU),bChlor (ug/L),bBGA-PC (RFU),bBGA-PC (_g/L),bBaro (mmHg)
18,38.675556,-89.291417,1326.966656,0.287,2.4707,2.87,24.707,11.39527355,3.3302,0,0.009,0.001,0.014,0.0417,0.0769,20.722,363,395.3,254,0.19,134.3,12.02,14.561,9.34,158.8,7.26,3.41,13.74,1.74,1.98,754.2,19.331,NA,397.8,259,0.19,97.2,8.79,14.563,9.14,177.3,12.65,5.32,21.39,1.75,1.82,754.3
19,38.665833,-89.290722,990.9895151,0.2833,2.3248,2.833,23.248,11.59895151,3.8302,0,0.041,0.015,0.146,0.0498,0.1273,20.214,362.4,398.9,258,0.19,132.7,11.94,14.564,9.32,163.2,7.49,3.02,11.27,1.67,1.75,NA,18.889,361.3,408.4,265,0.2,84.6,7.85,14.565,9.02,183.8,27.14,3.42,13.22,1.14,1.21,NA
20,38.668861,-89.274028,994.6236559,0.2861,2.2811,2.861,22.811,13.5373587,4.0802,0.01,0.021,0.153,0.211,0.0496,0.0503,19.076,355.6,401,261,0.19,118.6,10.97,14.636,9.96,132.7,10.4,4.16,16.76,1.63,1.81,755.3,19.854,354.9,403.8,262,0.19,103.6,9.67,14.646,9.87,136.7,30.7,5.24,21.07,1.73,1.8,755.3
21,38.667667,-89.265583,1413.935902,0.2267,1.8957,2.267,18.957,9.110550954,3.3302,0.009,0.025,0.008,0.101,0.0564,0.0299,19.64,349.9,389.1,253,0.19,124.9,11.53,14.701,10,126,12.79,6.91,27.76,2.55,2.45,755.5,21.408,357.3,399.5,260,0.19,104.1,9.58,14.647,9.9,122.3,89.34,6.49,20.06,2.39,2.46,755.4
22,38.676306,-89.255778,837.6131341,0.2262,1.9121,2.262,19.121,11.3870764,4.3302,0.011,0.025,0.02,0.09,0.015,0.0226,20.233,353.5,388.9,253,0.19,125.2,11.3,14.588,10.1,116.6,12.47,6.38,25.65,2.61,2.68,755.3,19.145,343.1,386.2,258,0.19,108.8,10.02,14.584,10,106.5,224.28,7.14,36.66,3.64,3.72,755.3
23,38.680806,-89.2425,732.7557481,0.1485,1.364,1.485,13.64,6.597800733,3.3302,0.004,0.007,0,0,0.0076,0.0208,20.242,247.9,382.7,249,0.18,134.7,12.17,14.586,10.12,98.9,15.14,7.66,30.77,2.58,2.65,755.4,20.412,351.6,385.4,251,0.18,113.9,10.26,14.602,9.99,104.4,89.96,7.87,31.58,2.93,3.01,755.4
24,38.682694,-89.248278,742.3040604,0.1994,1.6767,1.994,16.767,10.29272899,4.3302,0.009,0.01,0.026,0.032,0.0202,0.0167,20.838,354.3,389.1,253,0.19,128.5,11.58,14.589,10.09,106.4,10.66,454,18.3,2.17,2.24,755.5,19.835,346.7,392.4,255,0.19,115.4,10.5,14.587,10.05,119.2,43.34,3.54,14.26,2.06,2.17,755.4
25,38.677611,-89.258722,960.8177172,0.2686,2.0832,2.686,20.832,12.20897217,3.3302,0.006,0,0.005,0.102,0.0049,0.0487,22.138,368.6,389.9,253,0.19,180.2,15.69,14.645,10.34,100.3,14.51,8.78,35.23,3.75,3.14,753.7,19.9,356.3,394.8,257,0.19,114,10.35,14.599,10.07,127.8,19.5,4.61,18.56,1.77,1.85,753.7
26,38.684167,-89.270167,NA,NA,NA,NA,NA,NA,NA,0,0,0.018,0,0.0131,0.0071,22.022,368.8,289.8,253,0.19,158.3,13.78,14.595,10.16,104.5,9.78,7.24,29.09,3.01,3.08,753.8,21.601,368.1,393.6,256,0.19,138.1,12.15,14.622,10.18,104.3,19.29,8.1,32.52,3.18,1.92,753.8
27,38.691139,-89.28525,784.8963169,0.2476,2.1154,2.476,21.154,10.46115754,4.3302,0,0,0,0.003,0.0059,0.0091,21.961,370,392.8,255,0.19,141.4,12.62,14.559,10.2,93.1,9.71,8.44,33.88,2.86,2.96,753.1,21.299,355.3,390.4,254,0.19,104.5,9.44,14.558,9.99,110.8,37.28,6.79,27.28,2.56,2.63,753.9
